Variables;n_componentes;rho;phi_1;sigma2;MAPE;RMSE_rel
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima, Gas_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998480041924797;9,21885385864702;0,313050929132911;0,248822915106460
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, Electricidad_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998482837944529;9,06151002894322;0,140855962951735;0,249344321405847
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,999000000000000;7,78494994693430;0,301773820271512;0,249746736026331
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima, Capital_arima;3;-0,999000000000000;0,998373844237884;8,69422263028456;0,193962063737314;0,250156104321678
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998485882777686;9,07719595587235;0,142550115607225;0,251014323415952
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, PobTotal_arima, ActivoHombres_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998803214555163;5,83552632178277;0,240353642697267;0,251536592497984
Total_arima, ConsumoEuros_arima, NumeroCreadas_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,997396875993481;0,998969016302607;8,02145019180445;0,313076472742859;0,251537235401685
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Electricidad_arima, Carbón y derivados_arima, Capital_arima;3;-0,988859547138948;0,998567094250297;8,72567217878136;0,303614919857884;0,252234750121949
Total_arima, ConsumoEuros_arima, PobTotal_arima, ActivoHombres_arima, Electricidad_arima, Gas_arima;3;-0,999000000000000;0,998529405059080;7,33236008485724;0,188998951071960;0,252418254300836
Total_arima, ConsumoEuros_arima, Electricidad_arima, Capital_arima;3;-0,998999999999990;0,998429323457675;9,95789530653506;0,262490497894145;0,252622417781474
Total_arima, ConsumoEuros_arima, Capital_arima;3;-0,996508639696516;0,998442342194406;9,86788703820947;0,259266141548199;0,252758765334547
Total_arima, ConsumoEuros_arima, NumeroSociedades_arima, Carbón y derivados_arima;3;-0,999000000000000;0,998958288663941;7,67126041239291;0,248587491210048;0,254893560683261
Total_arima, ConsumoEuros_arima, ActivosMujeres_arima, PobTotal_arima, Carbón y derivados_arima, Capital_arima, EurosDesembolsado_arima;3;-0,999000000000000;0,998362657335777;8,74007948776138;0,190177276698376;0,255253801239235
