Total Nacional;Comunidades y Ciudades Autónomas;Producto consumido;Período;Total
Total Nacional;12 Galicia;Gasóleo;2011;80123
Total Nacional;12 Galicia;Gasóleo;2009;74968
Total Nacional;12 Galicia;Fueloil;2013;160534
Total Nacional;12 Galicia;Fueloil;2011;209226
Total Nacional;12 Galicia;Fueloil;2009;146599
Total Nacional;12 Galicia;Otros productos petrolíferos;2013;5585
Total Nacional;12 Galicia;Otros productos petrolíferos;2011;7911
Total Nacional;12 Galicia;Otros productos petrolíferos;2009;6626
Total Nacional;12 Galicia;Carbón y derivados;2013;
Total Nacional;12 Galicia;Carbón y derivados;2011;22472
Total Nacional;12 Galicia;Carbón y derivados;2009;7827
Total Nacional;12 Galicia;Carbón y coque;2013;14722
Total Nacional;12 Galicia;Carbón y coque;2011;
Total Nacional;12 Galicia;Carbón y coque;2009;
Total Nacional;12 Galicia;Biocombustibles;2013;7617
Total Nacional;12 Galicia;Biocombustibles;2011;
Total Nacional;12 Galicia;Biocombustibles;2009;
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2013;17896
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2011;
Total Nacional;12 Galicia;Calor y otros consumos energéticos;2009;
Total Nacional;12 Galicia;Otros consumos energéticos;2013;
Total Nacional;12 Galicia;Otros consumos energéticos;2011;25894
Total Nacional;12 Galicia;Otros consumos energéticos;2009;11246
Total Nacional;12 Galicia;Total consumos energéticos;2013;943453
Total Nacional;12 Galicia;Total consumos energéticos;2011;1011035
Total Nacional;12 Galicia;Total consumos energéticos;2009;818192
Total Nacional;13 Madrid Comunidad de;Electricidad;2013;284459
Total Nacional;13 Madrid Comunidad de;Electricidad;2011;343058
Total Nacional;13 Madrid Comunidad de;Electricidad;2009;302999
Total Nacional;13 Madrid Comunidad de;Gas;2013;123949
Total Nacional;13 Madrid Comunidad de;Gas;2011;113638
Total Nacional;13 Madrid Comunidad de;Gas;2009;126038
Total Nacional;13 Madrid Comunidad de;Gasóleo;2013;42234
Total Nacional;13 Madrid Comunidad de;Gasóleo;2011;48505
Total Nacional;13 Madrid Comunidad de;Gasóleo;2009;57154
Total Nacional;13 Madrid Comunidad de;Fueloil;2013;4634
Total Nacional;13 Madrid Comunidad de;Fueloil;2011;7533
Total Nacional;13 Madrid Comunidad de;Fueloil;2009;6947
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2013;5387
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2011;12119
Total Nacional;13 Madrid Comunidad de;Otros productos petrolíferos;2009;8186
Total Nacional;13 Madrid Comunidad de;Carbón y derivados;2013;
Total Nacional;13 Madrid Comunidad de;Carbón y derivados;2011;11817
Total Nacional;13 Madrid Comunidad de;Carbón y derivados;2009;7534
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2013;5295
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2011;
Total Nacional;13 Madrid Comunidad de;Carbón y coque;2009;
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2013;884
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2011;
Total Nacional;13 Madrid Comunidad de;Biocombustibles;2009;
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2013;7556
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2011;
Total Nacional;13 Madrid Comunidad de;Calor y otros consumos energéticos;2009;
Total Nacional;13 Madrid Comunidad de;Otros consumos energéticos;2013;
Total Nacional;13 Madrid Comunidad de;Otros consumos energéticos;2011;11447
Total Nacional;13 Madrid Comunidad de;Otros consumos energéticos;2009;8341
Total Nacional;13 Madrid Comunidad de;Total consumos energéticos;2013;4744
